TipoViabilidade;Status;Assunto;Acoes;Observacoes;Responsavel;Interessados;PrazoDiasUteis;DataVencimentoDMais;TipoProprietario
Solar;AGENDAMENTO_DE_VISITA_TECNICA;AGENDAMENTO DE VISITA;PREENCHER OS CAMPOS DE AGENDAMENTO DE VISITA;Selecione a equipe responsável e registre todos os dados da visita.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;VISITA_AGENDADA;SOLICITAR PAGAMENTO DE INTEGRADOR;ANEXAR A NF DO INTEGRADOR PARA PAGAMENTO.;Anexe a nota fiscal gerada pelo integrador para liberar o pagamento.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;VISITA_AGENDADA;CONFIRMAÇÃO DE LANÇAMENTO DE NF;INFORMAR O DIA DO LANÇAMENTO DA NF NAS NOTAS DE VIABILIDADE.;Registrar a data do lançamento da nota fiscal nas notas da viabilidade.;contabilidade@enerzee.com.br;Supervisor de Viabilidade;2;2;USUARIO
Solar;VISITA_AGENDADA;SOLICITAR NOVO INTEGRADOR;SOLICITAR O CADASTRO DO NOVO INTEGRADOR PARA A EQUIPE DE INTEGRAÇÃO.;Utilize o Chatter para direcionar a solicitação à equipe responsável.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;AGUARDANDO_ELABORACAO;CONFERENCIA DE LOCALIZAÇÃO DA PROPOSTA;CONFIRMAR A LOCALIZAÇÃO INFORMADA COM A PROPOSTA E A FATURA.;Validar se endereço, proposta e fatura estão alinhados.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;AGUARDANDO_ELABORACAO;CRIAR PASTA DE VIABILIDADE;CRIAR A PASTA DO CLIENTE COM FOTOS, LOCALIZAÇÃO E FICHA DE INSPEÇÃO NO SERVIDOR.;Organizar evidências da visita técnica.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;AGUARDANDO_ELABORACAO;DELEGAR ANALISTA DE VIABILIDADE;DEFINIR QUEM SERÁ O RESPONSÁVEL PELA ELABORAÇÃO DO ESTUDO DE VIABILIDADE.;Preencher o campo Responsável VT.;Supervisor de   ;Supervisor de Viabilidade;2;2;ROLE
Solar;ESTUDO_EM_ELABORACAO;ELABORAR ESTUDO DE VIABILIDADE;INICIAR A ANÁLISE DAS INFORMAÇÕES E ELABORAR RELATÓRIO E ROTEIRO VT.;Registrar comentários no Chatter conforme evolução.;OWNER;Supervisor de Viabilidade;2;2;USUARIO
Solar;ESTUDO_EM_ELABORACAO;ELABORAR NUVEM DE PONTOS;PROCESSAR A NUVEM DE PONTOS COM BASE NAS IMAGENS DISPONÍVEIS.;Caso não haja drone, registrar no Chatter a atividade realizada.;Estagiário de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Solar;VIABILIDADE_FINALIZADA;ANEXAR ARQUIVOS DE VIABILIDADE;ANEXAR RELATÓRIO DE VT, LAYOUT, ROTEIRO E LOCALIZAÇÃO PARA CONCLUIR A ETAPA.;Gerar proposta readequada e notificar o consultor somente na fase de Readequação de Proposta.;OWNER;Supervisor de Viabilidade;2;2;USUARIO
Ezee_Solar;AGENDAMENTO_DE_VISITA_TECNICA;AGENDAMENTO DE VISITA;PREENCHER OS CAMPOS DE AGENDAMENTO DE VISITA;Selecione a equipe responsável e registre todos os dados da visita.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Ezee_Solar;VISITA_AGENDADA;SOLICITAR PAGAMENTO DE INTEGRADOR;ANEXAR A NF DO INTEGRADOR PARA PAGAMENTO.;Anexe a nota fiscal gerada pelo integrador para liberar o pagamento.;Assistente de Viabilidade;Supervisor de Viabilidade;2;2;ROLE
Ezee_Solar;VISITA_AGENDADA;CONFIRMAÇÃO DE LANCAÇAMENTO DE NF;INFORMAR O DIA DO LANÇAMENTO DA NF NAS NOTAS DE VIABILIDADE.;Registrar a data do lançamento da nota fiscal nas notas da viabilidade.;contabilidade@enerzee.com.br;Supervisor de Viabilidade;2;2;USUARIO
